PlanningLocation,minimumDwell,stationCode,locationName,subdivision,MonitoringLocation,LocationGroup,
ACOCKSG,+02 ,ACG,Acocks Green              ,109,66430,North West and Central,
ACRNGTN,+02 ,ACR,Accrington                ,503,29061,North West and Central,
ACTCWHF,+02 ,   ,Acton Canal Wharf         ,209,72235,Eastern               ,
ACTNCTL,+02 ,ACC,Acton Central             ,207,72252,Eastern               ,
ACTNLRG,+02 ,   ,Acton Lane Rec Sdgs GBRF  ,101,72209,North West and Central,
ACTNLRS,+02 ,   ,Acton Lane Reception Sdgs ,101,72211,North West and Central,
ACTOEWS,+02 ,   ,Acton Yard EWS            ,401,73235,Wales and Western     ,
ACTOGBR,+02 ,   ,Acton Yard GBRF           ,401,73248,Wales and Western     ,
ACTOLHS,+02 ,   ,Acton Loco Holding Sidings,401,73249,Wales and Western     ,
ACTONFY,+02 ,   ,Acton Foster Yeoman       ,401,73238,Wales and Western     ,
ACTONML,+02 ,AML,Acton Main Line           ,401,73240,Wales and Western     ,
ACTONTC,+02 ,XAX,Acton T.C.                ,401,73250,Wales and Western     ,
ACTONW ,+02 ,   ,Acton West                ,401,73251,Wales and Western     ,
ACTRNED,+02 ,   ,Achterneed                ,710,01087,Scotland's Railway    ,
ACWLJN ,+02 ,   ,Acton Wells Jn            ,207,72251,Eastern               ,
ADERLYP,+02 ,ADD,Adderley Park             ,106,65614,North West and Central,
ADIEWEL,+02 ,ADW,Addiewell                 ,702,04090,Scotland's Railway    ,
ADISHAM,+02 ,ADM,Adisham                   ,604,89514,Southern              ,
ADLC   ,+02 ,ADC,Adlington (Cheshire)      ,511,32575,North West and Central,
ADLESTJ,+00H,   ,Addlestone Jn             ,609,86010,Southern              ,
ADLESTN,+02 ,ASN,Addlestone                ,609,86011,Southern              ,
ADNL   ,+02 ,ADL,Adlington (Lancashire)    ,503,30321,North West and Central,
ADSWDRD,+02 ,   ,Adswood Road Jn           ,511,32561,North West and Central,
ADWICK ,+02 ,AWK,Adwick                    ,303,23118,Eastern               ,
ADWICKJ,+02 ,   ,Adwick Jn                 ,303,23120,Eastern               ,
AGCRFTJ,+00H,   ,Agecroft Jn               ,502,31564,North West and Central,
AGHTNPH,+02 ,AUG,Aughton Park              ,504,36005,North West and Central,
AIGBURT,+02 ,AIG,Aigburth                  ,504,36086,North West and Central,
AINSDAL,+02 ,ANS,Ainsdale                  ,504,36062,North West and Central,
AINT206,+02 ,   ,Aintree Signal 1206       ,504,36026,North West and Central,
AINTREE,+02 ,AIN,Aintree                   ,504,36027,North West and Central,
AINTSFJ,+00H,   ,Aintree Sefton Jn         ,504,36027,North West and Central,
AIRBLES,+02 ,AIR,Airbles                   ,704,07476,Scotland's Railway    ,
AIRD754,+02 ,   ,Airdrie Signal YS754      ,703,07325,Scotland's Railway    ,
AIRDCS ,+02 ,   ,Airdrie C.S.              ,703,07326,Scotland's Railway    ,
AIRDRIE,+02 ,ADR,Airdrie                   ,703,07327,Scotland's Railway    ,
AIRP   ,+02 ,APN,Airport (Newcastle)       ,309,12401,Eastern               ,
AISGILL,+02 ,   ,Ais Gill                  ,505,09438,North West and Central,
AISHXO ,+02 ,   ,Aish Emergency Crossover  ,404,84060,Wales and Western     ,
ALBION ,+02 ,   ,Albion G.F.               ,106,65813,North West and Central,
ALBNFCL,+02 ,   ,Albany Park-Footscray Lane,603,00000,Southern              ,
ALBNHV ,+02 ,   ,Albany Park-Hrst Rd/Val Av,603,00000,Southern              ,
ALBNYPK,+02 ,AYP,Albany Park               ,603,88462,Southern              ,
ALBRGHT,+02 ,ALB,Albrighton                ,108,65033,North West and Central,
ALDB337,+02 ,   ,Aldersbrook Signal 337/354,204,50429,Eastern               ,
ALDBUCS,+02 ,Abk,Aldersbrook Up C.H.S.     ,204,50430,Eastern               ,
ALDEDGE,+02 ,ALD,Alderley Edge             ,501,32581,North West and Central,
ALDGEST,+02 ,ZAE,Aldgate East LT           ,609,87123,Southern              ,
ALDMCE ,+02 ,   ,Aldermaston Tip ISU (CE)  ,401,74713,Wales and Western     ,
ALDMSPS,+02 ,   ,Aldermaston Padworth Sdgs ,401,74712,Wales and Western     ,
ALDMSTN,+02 ,AMT,Aldermaston               ,401,74714,Wales and Western     ,
ALDR371,+02 ,   ,Aldershot Signal WK1371   ,610,87038,Southern              ,
ALDR378,+02 ,   ,Aldershot Signal WK1378   ,610,87039,Southern              ,
ALDRSHT,+02 ,AHT,Aldershot                 ,610,87031,Southern              ,
ALDRSJN,+00H,   ,Aldershot North Jn        ,610,87037,Southern              ,
ALDRSJS,+00H,   ,Aldershot South Jn        ,610,87013,Southern              ,
ALDTON ,+02 ,AGT,Aldrington                ,608,87985,Southern              ,
ALDW109,+02 ,   ,Sheffield Sig S1092       ,304,24503,Eastern               ,
ALDW721,+02 ,   ,Roundwood Chord Sig S721  ,304,24701,Eastern               ,
ALDW738,+02 ,   ,Aldwarke Jn Sig S738      ,304,24500,Eastern               ,
ALDWGBF,+02 ,   ,Aldwarke UES GBRF         ,304,24499,Eastern               ,
ALDWNWS,+02 ,   ,Aldwarke U.E.S.           ,304,24501,Eastern               ,
ALDWRKJ,+02 ,   ,Aldwarke Jn               ,304,24701,Eastern               ,
ALDWRML,+02 ,   ,Roundwood B.S.C. 11" Mill ,304,24405, Eastern              ,
ALDWRS ,+02 ,   ,Aldwarke Repair Sidings   ,304,24502,Eastern               ,
ALERTN ,+02 ,ALE,Liverpool South Pw HL     ,502,36192,North West and Central,
ALERTN4,+02 ,   ,Allerton Signal AN4       ,502,36196,North West and Central,
ALERTNJ,+00H,   ,Allerton Jn               ,502,36195,North West and Central,
ALERTNS,+02 ,XAL,Allerton Depot            ,502,36191,North West and Central,
ALEXNDP,+02 ,AAP,Alexandra Palace          ,301,54103,Eastern               ,
ALEXPSS,+02 ,   ,Alexandra Palace Sand Sdg ,301,54103,Eastern               ,
ALFRETN,+02 ,ALF,Alfreton                  ,107,56127,Eastern               ,
ALLENSW,+02 ,ALW,Allens West               ,308,15702,Eastern               ,
ALLEURL,+02 ,   ,Urlay Nook Crossover      ,308,15705,Eastern               ,
