PlanningLocation,minimumDwell,stationCode,locationName,subdivision,MonitoringLocation,LocationGroup,
DLTNUSG,+02 ,   ,Darlington Up S.S. (GBRF) ,308,15861,Eastern               ,
DLWYDLN,+02 ,DWD,Dolwyddelan               ,431,40063,Wales and Western     ,
DMARBSC,+02 ,   ,Dee Marsh B.S.C.          ,526,39003,North West and Central,
DMARSHJ,+00H,   ,Dee Marsh Jn              ,526,39001,North West and Central,
DMARSRS,+02 ,   ,Dee Marsh Recp. Sdgs      ,526,39000,North West and Central,
DMBR933,+02 ,   ,Dumbarton Sig YD933       ,703,06135,Scotland's Railway    ,
DMBR938,+02 ,   ,Dumbarton Sig YD938       ,703,06139,Scotland's Railway    ,
DMBRCCE,+02 ,   ,Dumbarton Central C.E.    ,703,06138,Scotland's Railway    ,
DMBRTNC,+02 ,DBC,Dumbarton Central         ,703,06136,Scotland's Railway    ,
DMBRTNE,+02 ,DBE,Dumbarton East            ,703,06137,Scotland's Railway    ,
DMBRTNL,+02 ,   ,Dumbarton Goods Loop      ,703,06135,Scotland's Railway    ,
DMCKSCT,+02 ,   ,Dimmocks Cote AHB         ,203,47050,Eastern               ,
DMTHKWR,+02 ,KWR,Kingswear (For Dartmouth) ,404,83639,Wales and Western     ,
DNBGHNJ,+00H,   ,Denbigh Hall North Jn     ,112,70263,North West and Central,
DNBGHSJ,+00H,   ,Denbigh Hall South Jn     ,112,70265,North West and Central,
DNDL   ,+02 ,DBD,Denby Dale                ,311,18498,Eastern               ,
DNFRMLE,+02 ,DFE,Dunfermline Town          ,702,03321,Scotland's Railway    ,
DNFRMQM,+02 ,DFL,Dunfermline Queen Margaret,702,03319,Scotland's Railway    ,
DNLP   ,+02 ,DNL,Dunlop                    ,707,08701,Scotland's Railway    ,
DNNG605,+02 ,   ,Dinnington Sig WP605      ,324,26303,Eastern               ,
DNNG606,+02 ,   ,Dinnington Sig WP606      ,324,26304,Eastern               ,
DNNGCLJ,+02 ,   ,Dinnington Jn             ,324,26302,Eastern               ,
DNRAGIT,+02 ,   ,Dunragit                  ,707,08648,Scotland's Railway    ,
DNRD   ,+02 ,DRD,Dane Road                 ,502,00000,North West and Central,
DNROBIN,+02 ,DNO,Dunrobin Castle           ,710,01023,Scotland's Railway    ,
DNSDCPA,+02 ,   ,Deanside C.P.A.           ,701,07043,Scotland's Railway    ,
DNSDFLT,+02 ,   ,Deanside CPA FLT          ,701,07044,Scotland's Railway    ,
DNSDLP ,+02 ,   ,Deanside Loop             ,701,07053,Scotland's Railway    ,
DNSN   ,+02 ,DOT,Dunston                   ,309,13523,Eastern               ,
DNTG   ,+02 ,DTG,Dinting                   ,501,32243,North West and Central,
DNTON  ,+02 ,DTN,Denton                    ,501,32520,North West and Central,
DNTONJN,+00H,   ,Denton Jn                 ,516,32519,North West and Central,
DNTOSTJ,+02 ,   ,Denton Station Jn         ,501,32502,North West and Central,
DOBSBRW,+02 ,DBB,Dobbs Brow                ,502,00000,North West and Central,
DOCKYDP,+02 ,DOC,Dockyard                  ,404,84200,Wales and Western     ,
DODWRTH,+02 ,DOD,Dodworth                  ,304,25386,Eastern               ,
DOKJNSP,+00H,   ,Dock Jn North             ,103,63624,Eastern               ,
DOKJSSP,+00H,   ,Dock Jn South             ,103,63623,Eastern               ,
DOLAU  ,+02 ,DOL,Dolau                     ,433,79093,Wales and Western     ,
DOLEHAM,+02 ,DLH,Doleham                   ,604,88296,Southern              ,
DOLGARG,+02 ,DLG,Dolgarrog                 ,431,40058,Wales and Western     ,
DOLM151,+02 ,   ,Dollands Moor Signal 2151 ,604,00000,Southern              ,
DOLM153,+02 ,   ,Dollands Moor Signal 2153 ,604,00000,Southern              ,
DOLM160,+02 ,   ,Dollands Moor Signal 2160 ,604,00000,Southern              ,
DOLM162,+02 ,   ,Dollands Moor Signal 2162 ,604,00000,Southern              ,
DOLM171,+02 ,   ,Dollands Moor Signal 2171 ,604,00000,Southern              ,
DOLM825,+02 ,   ,Dollands Moor Sig.825-831 ,604,89735,Southern              ,
DOLM836,+02 ,   ,Dollands Moor Sig.836-840 ,604,89735,Southern              ,
DOLMCR ,+02 ,   ,Dollands Moor Colas Rail  ,604,89729,Southern              ,
DOLMDGL,+02 ,   ,Dollands Moor Dn Gds Line ,604,89735,Southern              ,
DOLMEB ,+02 ,   ,Dollands Moor E. Boundary ,604,89580,Southern              ,
DOLMEST,+02 ,XTP,Dollands Moor T.P.L.      ,604,89739,Southern              ,
DOLMGBF,+02 ,   ,Dollands Moor (GBRF)      ,604,89726,Southern              ,
DOLMGET,+02 ,   ,Dollands Moor G.E.T       ,604,89730,Southern              ,
DOLMLHS,+02 ,   ,Dollands Moor L.H.S.      ,604,89736,Southern              ,
DOLMLL ,+02 ,   ,Dollands Moor Loco Loop   ,604,00000,Southern              ,
DOLMORS,+02 ,XLM,Dollands Moor Sdgs        ,604,89735,Southern              ,
DOLMWB ,+02 ,   ,Dollands Moor W. Boundary ,604,89578,Southern              ,
DOLMWJN,+02 ,   ,Dollands Moor West Jn     ,616,89576,Southern              ,
DOLMWST,+02 ,   ,Dollands Moor West        ,604,89735,Southern              ,
DOLPHNJ,+00H,   ,Dolphin Jn                ,401,73819,Wales and Western     ,
DONC   ,+02 ,DON,Doncaster                 ,303,23421,Eastern               ,
DONC105,+02 ,   ,Doncaster Sig D105        ,303,23120,Eastern               ,
DONC106,+02 ,   ,Doncaster Sig D106        ,303,23119,Eastern               ,
DONC108,+02 ,   ,Doncaster Sig D108        ,303,23109,Eastern               ,
DONC191,+02 ,   ,Doncaster Sig D191        ,303,23486,Eastern               ,
DONC249,+02 ,   ,Doncaster Sig D249        ,303,23422,Eastern               ,
DONC254,+02 ,   ,Doncaster Sig D254        ,303,23423,Eastern               ,
DONC269,+02 ,   ,Doncaster Sig D269        ,303,23414,Eastern               ,
DONC275,+02 ,   ,Doncaster Sig D275        ,303,23424,Eastern               ,
DONC276,+02 ,   ,Doncaster Sig D276        ,303,23421,Eastern               ,
DONC281,+02 ,   ,Doncaster Signal D281     ,303,23411,Eastern               ,
DONC298,+02 ,   ,Doncaster Sig D298        ,303,23407,Eastern               ,
DONC308,+02 ,   ,Doncaster Sig D308        ,303,23411,Eastern               ,
DONC489,+02 ,   ,Doncaster Sig D1489       ,303,23499,Eastern               ,
DONC866,+02 ,   ,Doncaster Sig D866        ,303,23148,Eastern               ,
DONCBCJ,+02 ,   ,Black Carr Jn (Doncaster) ,303,23456,Eastern               ,
DONCBDL,+02 ,   ,Doncaster Belmont Dn LHS  ,303,23463,Eastern               ,
DONCBDR,+02 ,   ,Belmont Down Reception    ,303,23455,Eastern               ,
DONCBDY,+02 ,   ,Belmont Down Yard         ,303,23432,Eastern               ,
DONCBJN,+02 ,   ,Bridge Jn                 ,303,23443,Eastern               ,
DONCBRE,+02 ,   ,Doncaster Works Wabtec    ,303,23419,Eastern               ,
DONCDCE,+02 ,   ,Doncaster D.C.E Sdgs      ,303,23416,Eastern               ,
DONCDDF,+02 ,   ,Doncaster Down Decoy FLHH ,303,23448,Eastern               ,
DONCDDG,+02 ,   ,Doncaster Down Decoy GBRF ,303,23451,Eastern               ,
DONCDDY,+02 ,   ,Doncaster Down Decoy      ,303,23440,Eastern               ,
DONCDNJ,+02 ,   ,Decoy Nth Jn              ,303,23453,Eastern               ,
DONCDRP,+02 ,   ,Doncaster Down Decoy Rp GB,303,23459,Eastern               ,
DONCDSJ,+02 ,   ,Doncaster Decoy South Jcn ,303,23305,Eastern               ,
DONCECD,+02 ,   ,Doncaster ECD Powertrack  ,303,23442,Eastern               ,
DONCEP ,+02 ,   ,Doncaster Europort        ,303,23438,Eastern               ,
DONCEWS,+02 ,   ,Doncaster Freight Dept EWS,303,23428,Eastern               ,
DONCHGB,+02 ,   ,Hexthorpe Yard (GBRF)     ,304,24222,Eastern               ,
DONCHJN,+02 ,   ,Hexthorpe Jn              ,303,24219,Eastern               ,
DONCHRS,+02 ,   ,Hexthorpe R.S.            ,303,23441,Eastern               ,
DONCIEP,+02 ,   ,Doncaster Carr IEP Depot  ,303,23464,Eastern               ,
DONCLCJ,+02 ,   ,Loversall Carr Jn         ,303,23480,Eastern               ,
DONCLIP,+02 ,   ,Doncaster L.I.P.          ,303,23431,Eastern               ,
DONCMRD,+02 ,   ,Doncaster Middle Road     ,303,23415,Eastern               ,
DONCMRG,+02 ,   ,Donc. Marshgate Jn        ,303,23411,Eastern               ,
DONCPCJ,+02 ,   ,Potteric Carr Jn          ,303,23452,Eastern               ,
DONCPS ,+02 ,   ,Doncaster Paper Sdgs      ,303,23408,Eastern               ,
DONCPWD,+02 ,   ,Doncaster P Way Depot     ,303,23433,Eastern               ,
DONCRHA,+02 ,RHA,Robin Hood Airport        ,303,00000,Eastern               ,
DONCRMT,+02 ,   ,Doncaster Royal Mail Terml,303,23309,Eastern               ,
DONCRPA,+02 ,   ,Doncaster Railpt Spine Rd ,303,23437,Eastern               ,
DONCRPF,+02 ,   ,Doncaster EPT (F'liners)  ,303,23445,Eastern               ,
DONCRPG,+02 ,   ,Doncaster Railport (GBRF) ,303,23449,Eastern               ,
DONCRPR,+02 ,   ,Doncaster Railport        ,303,23429,Eastern               ,
DONCRSG,+02 ,   ,Doncaster Robert Rds Shed ,303,23458,Eastern               ,
DONCSCJ,+02 ,   ,St.Catherines Jn          ,303,23303,Eastern               ,
DONCSJJ,+02 ,   ,St James Jn               ,303,23444,Eastern               ,
DONCSNY,+02 ,   ,Doncaster Snowys Yard DBS ,303,23426,Eastern               ,
DONCSTS,+02 ,   ,Doncaster C.H.S.          ,303,23414,Eastern               ,
DONCSWY,+02 ,   ,Doncaster Sig D1490       ,303,23412,Eastern               ,
DONCUDF,+02 ,   ,Doncaster Up Decoy F'liner,303,23446,Eastern               ,
DONCUDG,+02 ,   ,Doncaster Up Decoy GBRF   ,303,23439,Eastern               ,
DONCUDY,+02 ,   ,Doncaster Up Decoy        ,303,23430,Eastern               ,
DONCVIR,+02 ,   ,Doncaster Wood Yd Virtual ,303,23447,Eastern               ,
DONCWCS,+02 ,   ,Doncaster Works Carr Shops,303,23420,Eastern               ,
DONCWDY,+02 ,   ,Doncaster Wood Yard       ,303,23433,Eastern               ,
DONCWFL,+02 ,   ,Doncaster Works (FLHH)    ,303,23413,Eastern               ,
DONCWL2,+02 ,   ,Doncaster Works Loco No2  ,303,23419,Eastern               ,
DONCWLS,+02 ,   ,Doncaster Works Loco Shops,303,23419,Eastern               ,
DONCWRL,+02 ,   ,Doncaster West Reception  ,303,23425,Eastern               ,
DONCWWS,+02 ,   ,Doncaster Works Wagn Shops,303,23419,Eastern               ,
DONCWY ,+02 ,XWV,Doncaster West Yard       ,303,23418,Eastern               ,
DONNGTJ,+00H,   ,Donnington Junction       ,437,64814,Wales and Western     ,
DONNRFT,+02 ,   ,Donnington RFT            ,437,64815,Wales and Western     ,
DONNSUM,+02 ,   ,Donnington Summerhouse Drv,437,64816,Wales and Western     ,
DORE   ,+02 ,DOR,Dore & Totley             ,304,25704,Eastern               ,
DORESJ ,+02 ,   ,Dore South Jn             ,304,25707,Eastern               ,
DORESNJ,+02 ,   ,Dore Station Jn           ,304,25705,Eastern               ,
DOREWJ ,+02 ,   ,Dore West Jn              ,304,25708,Eastern               ,
DORIDCE,+02 ,   ,Dorridge C.E. Sgds        ,109,66432,North West and Central,
DORIDGE,+02 ,DDG,Dorridge                  ,109,66433,North West and Central,
DORIUPL,+02 ,   ,Dorridge Up Passenger Loop,109,66464,North West and Central,
DORK33 ,+02 ,   ,Dorking Sig CBK33         ,639,87689,Southern              ,
DORK35 ,+02 ,   ,Dorking Sig CBK35         ,639,87690,Southern              ,
DORKDSG,+02 ,   ,Dorking Down Siding       ,639,87688,Southern              ,
DORKING,+02 ,DKG,Dorking                   ,639,87687,Southern              ,
DORMANS,+02 ,DMS,Dormans                   ,617,87757,Southern              ,
DORNGTN,+02 ,   ,Dorrington                ,411,64237,Wales and Western     ,
DOVE621,+02 ,   ,Dover Signal Ye 621       ,604,89614,Southern              ,
DOVE623,+02 ,   ,Dover Signal Ye 623       ,604,89613,Southern              ,
DOVERD ,+02 ,   ,Dover Depot               ,604,00000,Southern              ,
DOVERP ,+02 ,DVP,Dover Priory              ,604,89611,Southern              ,
DOVERPS,+02 ,Dps,Dover Priory Sidings      ,604,89612,Southern              ,
DOVRCRT,+02 ,DVC,Dovercourt                ,205,49415,Eastern               ,
DOVYDPL,+02 ,   ,Dovey Junction Down Loop  ,410,64399,Wales and Western     ,
DOVYJN ,+00H,DVY,Dovey Junction            ,410,64401,Wales and Western     ,
DOWNHAM,+02 ,DnM,Downham Market            ,203,46255,Eastern               ,
DOWNHMR,+02 ,   ,Downham Market Recp       ,203,46254,Eastern               ,
DRAXBJ ,+02 ,   ,Drax Branch Junction      ,312,18003,Eastern               ,
DRAXCEG,+02 ,   ,Drax Power Station        ,312,18001,Eastern               ,
DRAXEWS,+02 ,   ,Drax Pfa Loading Pt (EWS) ,312,17997,Eastern               ,
DRAXFHH,+02 ,   ,Drax Aes (FLHH)           ,312,18000,Eastern               ,
DRAXGBR,+02 ,   ,Drax Aes (GBRF)           ,312,17998,Eastern               ,
DRAXGYP,+02 ,   ,Drax Gypsum Loading Point ,312,17992,Eastern               ,
DRAYGJN,+02 ,   ,Drayton Green Junction    ,401,73270,Wales and Western     ,
DRAYGRN,+02 ,DRG,Drayton Green             ,401,73271,Wales and Western     ,
DRBY   ,+02 ,DBY,Derby                     ,127,57403,Eastern               ,
DRBYALL,+02 ,   ,Derby Litchurch Lane      ,127,57442,Eastern               ,
DRBYCHC,+02 ,   ,Chaddesden Curve          ,127,57408,Eastern               ,
DRBYCHF,+02 ,   ,Chaddesdon Sdgs Fastline  ,127,57303,Eastern               ,
DRBYCHS,+02 ,   ,Chaddesden Sdgs           ,127,57301,Eastern               ,
DRBYDOC,+02 ,   ,Derby North Doc Sidings   ,127,57402,Eastern               ,
DRBYEL ,+02 ,   ,St. Andrews Siding        ,127,57441,Eastern               ,
DRBYEPS,+02 ,XEP,Etches Park Sdgs          ,127,57412,Eastern               ,
DRBYFRG,+02 ,   ,Derby R.T.C. (Fragonset)  ,127,57422,Eastern               ,
DRBYGTS,+02 ,   ,Derby Gas Tank Sdgs       ,127,57400,Eastern               ,
DRBYHS ,+02 ,   ,Derby H.S.                ,127,57411,Eastern               ,
DRBYLNW,+00H,   ,L.N.W. Jn. Derby          ,127,57404,Eastern               ,
DRBYLRJ,+02 ,   ,Derby London Rd Junction  ,127,57410,Eastern               ,
DRBYRAM,+02 ,   ,Rams Line Halt            ,127,57450,Eastern               ,
DRBYRTC,+02 ,   ,Derby R.T.C.(Network Rail),127,57421,Eastern               ,
DRBYRTN,+02 ,   ,Derby R.T.C.Sidings North ,127,57407,Eastern               ,
DRBYSMJ,+00H,   ,St. Mary's Jn             ,127,57220,Eastern               ,
DRBYSMN,+02 ,   ,St.Mary's North Junction  ,127,57418,Eastern               ,
DRBYSMS,+02 ,   ,St.Mary's South Junction  ,127,57419,Eastern               ,
DRBYWW ,+02 ,   ,Derby Way & Works Sidings ,127,57413,Eastern               ,
DRBYWWJ,+02 ,   ,Derby Way & Works Junction,127,57406,Eastern               ,
DRCHCE ,+02 ,   ,Dorchester South ISU (CE) ,611,86973,Southern              ,
DRCHFHH,+02 ,   ,Dorchester South FLHH     ,611,86979,Southern              ,
DRCHJN ,+00H,   ,Dorchester Jn             ,611,86980,Southern              ,
DRCHS  ,+02 ,DCH,Dorchester South          ,611,86976,Southern              ,
DRCHW  ,+02 ,DCW,Dorchester West           ,611,86977,Southern              ,
DRDAYSJ,+00H,   ,Dr Day's Jn               ,402,81431,Wales and Western     ,
DREM537,+02 ,   ,Drem Sig EF537            ,702,04819,Scotland's Railway    ,
DREM821,+02 ,   ,Drem Signal EF821         ,702,04818,Scotland's Railway    ,
DREM822,+02 ,   ,Drem Signal EF822         ,702,04806,Scotland's Railway    ,
DREMDPL,+02 ,   ,Drem D.P.L.               ,702,04823,Scotland's Railway    ,
DREMJ  ,+02 ,DRM,Drem                      ,702,04821,Scotland's Railway    ,
DREMUPL,+02 ,   ,Drem U.P.L.               ,702,04820,Scotland's Railway    ,
DRHM   ,+02 ,DHM,Durham                    ,308,13702,Eastern               ,
DRHM357,+02 ,   ,Durham Sig.TY357          ,308,13697,Eastern               ,
DRHM358,+02 ,   ,Durham Sig TY358          ,308,13695,Eastern               ,
DRIFD54,+02 ,   ,Driffield GPL D54         ,313,19017,Eastern               ,
DRIFILD,+02 ,DRF,Driffield                 ,300,19016,Eastern               ,
DRIGBNF,+02 ,   ,Drigg BNF                 ,524,10204,North West and Central,
DRIGG  ,+02 ,DRI,Drigg                     ,524,10205,North West and Central,
DRKGW  ,+02 ,DKT,Dorking West              ,610,87084,Southern              ,
DRKLECJ,+02 ,   ,Drakelow East Curve Jn    ,127,57801,Eastern               ,
DRKLFHH,+02 ,   ,Drakelow C Powergen (FHH) ,127,57805,Eastern               ,
DRKLOCS,+02 ,   ,Drakelow C Powergen       ,127,57802,Eastern               ,
DRKLWCJ,+02 ,   ,Drakelow West Curve Jn    ,127,57803,Eastern               ,
DRLSTNJ,+00H,   ,Darlaston Jn              ,106,65089,North West and Central,
DRM5025,+02 ,   ,Drumgelloch Sig EN5025    ,702,07322,Scotland's Railway    ,
DRM5026,+02 ,   ,Drumgelloch Sig EN5026    ,702,07321,Scotland's Railway    ,
DRMCHPL,+02 ,DMC,Drumchapel                ,703,06219,Scotland's Railway    ,
DRMFCHR,+02 ,DFR,Drumfrochar               ,701,07009,Scotland's Railway    ,
DRMGLCH,+02 ,DRU,Drumgelloch               ,702,07323,Scotland's Railway    ,
DRNGTOS,+02 ,DUR,Durrington-On-Sea         ,608,87996,Southern              ,
DRNIKML,+02 ,   ,Drinnick Mill             ,404,85411,Wales and Western     ,
DRNSFDR,+02 ,   ,Durnsford Road Staff Halt ,609,87253,Southern              ,
DRONFLD,+02 ,DRO,Dronfield                 ,304,25711,Eastern               ,
DRTMTH ,+02 ,XMT,Dartmouth                 ,404,00000,Wales and Western     ,
DRTN   ,+02 ,DRT,Darton                    ,304,18402,Eastern               ,
DRTW68 ,+02 ,   ,Droitwich Signal 68       ,415,67013,Wales and Western     ,
DRTWCHS,+02 ,DTW,Droitwich Spa             ,415,67012,Wales and Western     ,
DRTWUGL,+02 ,   ,Droitwich Up Goods Loop   ,415,67015,Wales and Western     ,
DRUMRY ,+02 ,DMY,Drumry                    ,703,06217,Scotland's Railway    ,
DRYP   ,+02 ,DYP,Drayton Park              ,301,54291,Eastern               ,
DRYTON ,+02 ,   ,Drayton                   ,608,86429,Southern              ,
DTNG   ,+02 ,DNG,Dunton Green              ,627,89342,Southern              ,
DUBBSJ ,+02 ,   ,Dubbs Jn                  ,707,08119,Scotland's Railway    ,
DUDESTN,+02 ,DUD,Duddeston                 ,106,65642,North West and Central,
DUDLBS ,+02 ,   ,Dudley Bus Station        ,106,00000,North West and Central,
DUDLPT ,+02 ,DDP,Dudley Port               ,106,65811,North West and Central,
DUDNGHJ,+02 ,   ,Dudding Hill Jn           ,209,63009,Eastern               ,
DUFIELD,+02 ,DFI,Duffield                  ,127,57114,Eastern               ,
DUFRYNW,+02 ,   ,Duffryn West              ,433,79326,Wales and Western     ,
DUFTOWN,+02 ,DUT,Dufftown                  ,712,02011,Scotland's Railway    ,
DUIRNSH,+02 ,DRN,Duirinish                 ,710,01072,Scotland's Railway    ,
DUKEST ,+02 ,DST,Duke Street               ,703,06527,Scotland's Railway    ,
DULNGHM,+02 ,DUL,Dullingham                ,203,47006,Eastern               ,
DUMBRCK,+02 ,DUM,Dumbreck                  ,701,07127,Scotland's Railway    ,
DUMPTNP,+02 ,DMP,Dumpton Park              ,633,89470,Southern              ,
DUNADPL,+02 ,   ,Dunblane D.P.L.           ,714,03161,Scotland's Railway    ,
DUNADRS,+02 ,   ,Dunblane DRS ISU (CE)     ,714,03162,Scotland's Railway    ,
DUNANCE,+02 ,   ,Dunblane C.E.             ,714,03161,Scotland's Railway    ,
DUNANE ,+02 ,DBL,Dunblane                  ,714,03161,Scotland's Railway    ,
DUNANSB,+02 ,   ,Dunblane S.B.             ,714,03163,Scotland's Railway    ,
DUNBAR ,+02 ,DUN,Dunbar                    ,702,04827,Scotland's Railway    ,
DUNBDCE,+02 ,   ,Dunbar Down Sdgs CE       ,702,04828,Scotland's Railway    ,
DUNBUCE,+02 ,   ,Dunbar Up Sdgs CE         ,702,04826,Scotland's Railway    ,
DUNCRAG,+02 ,DCG,Duncraig                  ,710,01074,Scotland's Railway    ,
DUNDCJ ,+02 ,   ,Dundee Central Jn         ,714,03053,Scotland's Railway    ,
DUNDCJC,+02 ,   ,Dundee Central Jn C.E.    ,714,03053,Scotland's Railway    ,
DUNDEHS,+02 ,XDE,Dundee H.S.               ,714,03062,Scotland's Railway    ,
DUNDETB,+02 ,DEE,Dundee                    ,714,03054,Scotland's Railway    ,
DUNDHSH,+02 ,   ,Dundee Head Shunt         ,714,03055,Scotland's Railway    ,
DUNDWCE,+02 ,   ,Dundee West C.E.          ,714,03060,Scotland's Railway    ,
DUNDWTC,+02 ,DUE,Dundee West T.C.          ,714,03060,Scotland's Railway    ,
DUNGENS,+02 ,   ,Dungeness                 ,604,89437,Southern              ,
DUNKELD,+02 ,DKD,Dunkeld & Birnam          ,714,03106,Scotland's Railway    ,
DUNKUS ,+02 ,   ,Dunkeld & Birnam Up Sdg   ,714,03107,Scotland's Railway    ,
DUNROD ,+02 ,   ,Dunrod                    ,701,07008,Scotland's Railway    ,
DUNT   ,+02 ,XAD,Dunstable                 ,103,00000,North West and Central,
DURSLEY,+02 ,CDU,Cam & Dursley             ,402,68140,Wales and Western     ,
DUXFORD,+02 ,   ,Duxford                   ,203,47302,Eastern               ,
DVHL   ,+02 ,DVH,Dove Holes                ,501,32548,North West and Central,
DVNTYNJ,+00H,   ,Daventry North Jn         ,112,70075,North West and Central,
DVNTYSJ,+00H,   ,Daventry South Jn         ,112,70077,North West and Central,
DWBY   ,+02 ,DEW,Dewsbury                  ,311,18438,Eastern               ,
DWBYBC ,+02 ,   ,Dewsbury Blue Circle      ,311,18432,Eastern               ,
DWBYEJN,+02 ,   ,Dewsbury East Jn          ,311,18431,Eastern               ,
DWBYTIL,+02 ,   ,Dewsbury Tilcon           ,311,18433,Eastern               ,
DWLEYLP,+02 ,   ,Dawley Loop               ,401,73797,Wales and Western     ,
DYCE   ,+02 ,DYC,Dyce                      ,712,02042,Scotland's Railway    ,
DYCERFM,+02 ,   ,Dyce Raiths Farm F.D.     ,712,02043,Scotland's Railway    ,
DYCLJN ,+02 ,   ,Dryclough Jn              ,311,18466,Eastern               ,
DYFRYNA,+02 ,DYF,Dyffryn Ardudwy           ,410,64417,Wales and Western     ,
DYNEGF ,+02 ,   ,Dynevor Ground Frame      ,403,79256,Wales and Western     ,
DYNEVRJ,+00H,   ,Dynevor Jn                ,403,79256,Wales and Western     ,
EALINGB,+02 ,EAL,Ealing Broadway           ,401,73253,Wales and Western     ,
EALINGC,+02 ,   ,Ealing Common             ,401,00000,Wales and Western     ,
EARL136,+02 ,   ,Earlswood Signal T1136    ,607,87902,Southern              ,
EARL206,+02 ,   ,Earlswood Signal T206     ,607,87903,Southern              ,
EARLFHH,+02 ,   ,Earle Sidings (FLHH)      ,501,34013,North West and Central,
EARLSWD,+02 ,ELD,Earlswood (Surrey)        ,607,87903,Southern              ,
EARLSWS,+02 ,   ,Earlswood Sdgs            ,607,00000,Southern              ,
EASTBRK,+02 ,EBK,Eastbrook                 ,403,78713,Wales and Western     ,
EASTHAM,+02 ,ZEH,East Ham LT               ,210,51604,Eastern               ,
EBBWJ  ,+00H,   ,Ebbw Jn                   ,403,76481,Wales and Western     ,
EBOLDON,+02 ,EBL,East Boldon               ,309,14006,Eastern               ,
EBOLDUL,+02 ,   ,East Boldon Up Loop       ,309,14005,Eastern               ,
EBOU501,+02 ,   ,Eastbourne Signal EB501   ,607,88256,Southern              ,
EBOUCS ,+02 ,XEB,Eastbourne C.S.           ,607,88253,Southern              ,
EBOURNE,+02 ,EBN,Eastbourne                ,607,88254,Southern              ,
EBOUSID,+02 ,   ,Eastbourne Sidings        ,607,88255,Southern              ,
EBOUSPS,+02 ,   ,Eastbourne Spike Siding   ,607,00000,Southern              ,
EBSF531,+02 ,   ,Ebbsfleet Intl Sig AF531  ,616,00000,Southern              ,
EBSF533,+02 ,   ,Ebbsfleet Intl Sig AF533  ,616,00000,Southern              ,
EBSFACT,+02 ,   ,Ebbsfleet CTRL            ,616,89536,Southern              ,
EBSFDOM,+02 ,EBD,Ebbsfleet Intl (Domestic) ,616,89530,Southern              ,
EBSFEJN,+00H,XXI,Ebbsfleet E Jn            ,616,89532,Southern              ,
EBSFLTI,+02 ,EBF,Ebbsfleet International   ,616,89530,Southern              ,
EBSFWJN,+00H,XXJ,Ebbsfleet W Jn            ,616,89529,Southern              ,
EBWVPWY,+02 ,EBV,Ebbw Vale Parkway         ,403,76646,Wales and Western     ,
EBWVSGF,+02 ,   ,Ebbw Vale Sth Ground Frame,403,76644,Wales and Western     ,
ECCLES ,+02 ,ECC,Eccles                    ,502,31739,North West and Central,
ECCLUGL,+02 ,   ,Eccles Up Goods Loop      ,502,31740,North West and Central,
ECKNGTL,+02 ,   ,Eckington Loop            ,111,67372,North West and Central,
ECLFECH,+02 ,   ,Ecclefechan               ,708,07993,Scotland's Railway    ,
ECLR   ,+02 ,ECS,Eccles Road               ,205,48511,Eastern               ,
ECLRDJS,+02 ,   ,Eccles Rd Johnston's Sdg  ,205,48512,Eastern               ,
ECLREXC,+02 ,   ,Eccles Rd Exchange Sidings,205,48510,Eastern               ,
ECLRFHH,+02 ,   ,Eccles Road FHH           ,205,48513,Eastern               ,
ECLSFLW,+02 ,   ,Ecclesfield West S.B.     ,304,25306,Eastern               ,
ECPK   ,+02 ,ECL,Eccleston Park            ,502,36615,North West and Central,
ECRO065,+02 ,   ,East Croydon Signal T1065 ,623,87699,Southern              ,
ECRO080,+02 ,   ,East Croydon Signal T1080 ,623,00000,Southern              ,
ECROUS ,+02 ,   ,East Croydon Up Sidings   ,623,87702,Southern              ,
ECROYDN,+02 ,ECR,East Croydon              ,623,87701,Southern              ,
EDALE  ,+02 ,EDL,Edale                     ,501,34005,North West and Central,
EDALERS,+02 ,   ,Edale Refuge Sidings      ,501,34014,North West and Central,
EDENVGL,+02 ,   ,Eden Valley Goods Loop    ,505,09314,North West and Central,
EDERTON,+02 ,   ,Edderton                  ,710,01043,Scotland's Railway    ,
EDGELAJ,+00H,   ,Edge Lane Jn              ,502,36109,North West and Central,
EDGH   ,+02 ,EDG,Edge Hill                 ,502,36170,North West and Central,
EDGHCMD,+02 ,   ,Edge Hill Car. M.D.       ,502,36173,North West and Central,
EDGHDHS,+02 ,XEG,Edge Hill Depot           ,502,36173,North West and Central,
EDGHDWG,+02 ,XDG,Edge Hill Down Wapping    ,502,36174,North West and Central,
EDGHGTS,+02 ,   ,Edge Hill Gullet Sdgs     ,502,36176,North West and Central,
EDGHSB ,+02 ,   ,Former Edge Hill S.B.     ,502,36175,North West and Central,
EDIDBRY,+02 ,EDY,East Didsbury             ,506,32524,North West and Central,
EDIN813,+02 ,   ,Edinburgh Signal E813     ,702,04306,Scotland's Railway    ,
EDIN815,+02 ,   ,Edinburgh Signal E815     ,702,04307,Scotland's Railway    ,
EDIN907,+02 ,   ,Haymarket Cen Jn Sig EH907,702,04231,Scotland's Railway    ,
EDINBUR,+02 ,EDB,Edinburgh                 ,702,04303,Scotland's Railway    ,
EDINBUS,+02 ,EBS,Edinburgh Bus Station     ,702,00000,Scotland's Railway    ,
EDINGWY,+02 ,EGY,Edinburgh Gateway         ,702,04304,Scotland's Railway    ,
